id,campusName,academicFieldName,season,subjectName,dayOfWeekPeriod,locationName,lessonModeName,timetableYear,faculties,entryNumber,syllabusDetailUrl
1,日吉,総合教育科目Ⅱ類（人文・社会科学系科目）講義科目,秋,社会学Ⅱ,火1,土居 洋平,対面授業（主として対面授業）,2023,"['商/商', '経/経済', '文/人文', '理']",18864,detail?ttblyr=2023&entno=18864&lang=jp
2,日吉,総合教育科目選択必修（Ⅰ系）Ⅰ系　自然・数理系（生物・物理・化学）,秋,物理学Ⅱ（実験を含む）,"月1,2",吉田 豊,対面授業（主として対面授業）,2023,"['経/経済', '商/商', '文/人文']",20359,detail?ttblyr=2023&entno=20359&lang=jp
3,日吉,総合教育科目Ⅱ類（人文・社会科学系科目）講義科目,秋,論理学Ⅱ,火5,高橋 優太,オンライン授業（全回オンデマンド形式）,2023,"['商/商', '経/経済', '文/人文', '法/政治', '法/法律', '理']",01587,detail?ttblyr=2023&entno=01587&lang=jp
4,日吉,総合教育科目Ⅱ類（人文・社会科学系科目）講義科目,秋,国語国文Ⅱ,水3,津田 眞弓,対面授業（主として対面授業）,2023,"['商/商', '経/経済', '文/人文', '法/法律', '法/政治']",11640,detail?ttblyr=2023&entno=11640&lang=jp
5,日吉,"基礎科目Ⅱ類（基礎選択科目）(18, 19学則) / 総合教育科目Ⅳ類（自主強化科目）数学系科目(05学則)",秋,線形代数,火2,中本 敦浩,対面授業（主として対面授業）,2023,['商/商'],15789,detail?ttblyr=2023&entno=15789&lang=jp
6,日吉,総合教育科目Ⅱ類（人文・社会科学系科目）講義科目,春,言語学Ⅲ,火5,古賀 裕章,対面授業（主として対面授業）,2023,"['商/商', '経/経済', '文/人文', '法/政治', '法/法律']",30341,detail?ttblyr=2023&entno=30341&lang=jp
7,日吉,総合教育科目選択必修（Ⅰ系）Ⅰ系　自然・数理系,秋,科学と環境Ⅱ,土3,豊田 健介,オンライン授業（主としてオンデマンド形式）,2023,"['経/経済', '商/商', '文/人文', '理']",90749,detail?ttblyr=2023&entno=90749&lang=jp
8,日吉,総合教育科目Ⅰ類（自然科学系科目）講義科目,秋,心理学Ⅳ,火3,中野 泰志 他,対面授業（主として対面授業）,2023,"['商/商', '経/経済', '文/人文']",05212,detail?ttblyr=2023&entno=05212&lang=jp
9,日吉,総合教育科目選択必修（Ⅲ系）Ⅲ系　総合・関連系,秋,芸術文化論Ⅱ,月3,津田 眞弓 他,対面授業（主として対面授業）,2023,"['経/経済', '商/商', '文/人文', '法/政治', '法/法律']",34916,detail?ttblyr=2023&entno=34916&lang=jp
10,日吉,総合教育科目Ⅱ類（人文・社会科学系科目）演習科目,春,総合教育セミナーＳ（Ⅱ類）,土2,英 知明,対面授業（主として対面授業）,2023,['商/商'],49056,detail?ttblyr=2023&entno=49056&lang=jp
11,日吉,総合教育科目選択必修（Ⅲ系）Ⅲ系　総合・関連系（自由研究セミナー）,秋,自由研究セミナー,水5,長田 進,対面授業（主として対面授業）,2023,['経/経済'],07234,detail?ttblyr=2023&entno=07234&lang=jp
12,日吉,人文科学科目選択,秋,人文科学特論Ⅱ,火4,大野 真澄,対面授業（主として対面授業）,2023,"['法/政治', '法/法律']",95368,detail?ttblyr=2023&entno=95368&lang=jp
13,日吉,総合教育科目Ⅱ類（人文・社会科学系科目）講義科目,秋,地域文化論,木3,杉山 有紀子,対面授業（主として対面授業）,2023,"['商/商', '経/経済', '文/人文', '理']",26052,detail?ttblyr=2023&entno=26052&lang=jp
14,日吉,総合教育科目選択必修（Ⅱ系）Ⅱ系　人文・社会系,春,地域文化論Ⅰ,金5,ベネット， アレキサンダー Ｃ．,オンライン授業（主としてオンデマンド形式）,2023,"['経/経済', '商/商', '文/人文']",89552,detail?ttblyr=2023&entno=89552&lang=jp
15,日吉,総合教育科目選択必修（Ⅱ系）Ⅱ系　人文・社会系,春,地域研究−東南アジア,月5,新井 和広 他,対面授業（主として対面授業）,2023,"['経/経済', '商/商', '文/人文']",96163,detail?ttblyr=2023&entno=96163&lang=jp
